index,Order ID,Cust ID,Gender,Age,Date,Status,Channel,SKU,Category,Size,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B
20,OD-2025-00228,CUST-12174,Women,29,17-05-2025,Delivered,Nykaa,SKU-9698,Top,M,1,INR,4655.56,Chennai,Tamil Nadu,188150,India,FALSE
21,OD-2025-02423,CUST-33689,Women,51,2025-10-14,Delivered,Amazon,SKU-5917,Ethnic Dress,M,4,INR,2104.24,Jaipur,Rajasthan,860457,India,FALSE
22,OD-2025-02907,CUST-29605,Women,50,2025-04-23,Delivered,Nykaa,SKU-9029,Ethnic Dress,XL,1,INR,2503.73,Bangalore,Karnataka,990778,India,FALSE
23,OD-2025-02712,CUST-23552,Men,31,2025-09-01,Shipped,Nykaa,SKU-2707,Saree,XXL,2,INR,3310.61,Hyderabad,Telangana,878913,India,FALSE
24,OD-2025-02081,CUST-52978,Men,37,2025-09-23,Delivered,Ajio,SKU-8795,Ethnic Dress,XXL,1,INR,2735.34,Lucknow,Uttar Pradesh,347525,India,FALSE
25,OD-2025-06943,CUST-59395,Women,43,2025-01-21,Delivered,Myntra,SKU-4784,Top,XXL,4,INR,4825.33,Mumbai,Maharashtra,241187,India,FALSE
26,OD-2025-09261,CUST-26573,Women,21,24-08-2025,Delivered,Flipkart,SKU-6266,Blouse,XS,1,INR,901.05,Kolkata,West Bengal,527452,India,FALSE
27,OD-2025-03382,CUST-44143,Women,24,2025-08-11,Delivered,Nykaa,SKU-4833,Ethnic Dress,XXL,3,INR,1576.71,Mumbai,Maharashtra,337706,India,FALSE
28,OD-2025-07117,CUST-33375,Women,46,2025-06-30,Delivered,Myntra,SKU-9868,Saree,L,2,INR,3790.19,Bangalore,Karnataka,437022,India,FALSE
29,OD-2025-06556,CUST-88235,Men,53,2025-12-11,Delivered,Meesho,SKU-5339,Western Dress,XXL,2,INR,2790.99,Pune,Maharashtra,149770,India,FALSE
30,OD-2025-05151,CUST-22998,Women,55,2025-04-02,Delivered,Ajio,SKU-6995,Top,XL,1,INR,4333.6,Chennai,Tamil Nadu,503017,India,FALSE
31,OD-2025-07399,CUST-92433,Women,37,2025-07-02,Cancelled,Amazon,SKU-2748,Kurta,S,4,INR,4010.91,Lucknow,Uttar Pradesh,105495,India,FALSE
32,OD-2025-07793,CUST-43754,Men,,2025-05-17,Returned,meesho,SKU-5828,Blouse,M,2,INR,3094.79,Delhi,Delhi,375062,India,FALSE
33,OD-2025-05610,CUST-78683,Women,56,2025-09-28,Delivered,Myntra,SKU-7694,Kurta,L,1,INR,2337.14,BANGALORE,Karnataka,266939,India,FALSE
34,OD-2025-01067,CUST-11825,Women,24,2025-04-30,Returned,Meesho,SKU-1204,Ethnic Dress,XS,3,INR,1939.8,Ahmedabad,Gujarat,637553,India,FALSE
35,OD-2025-06184,CUST-40953,Women,28,2025-04-08,Cancelled,Meesho,SKU-2341,Ethnic Dress,XL,2,INR,4054.37,Jaipur,Rajasthan,538359,India,FALSE
36,OD-2025-08725,CUST-15181,Women,20,2025-07-29,Delivered,Myntra,SKU-3809,Kurta,XS,1,INR,3351.99,Delhi,Delhi,602688,India,FALSE
37,OD-2025-05366,CUST-41937,Men,52,2025-12-09,Delivered,Ajio,SKU-9534,Western Dress,S,1,INR,3653.64,Mumbai,Maharashtra,939307,India,FALSE
38,OD-2025-02457,CUST-27801,Men,26,2025-01-15,Cancelled,Myntra,SKU-4517,Ethnic Dress,XL,1,INR,612.45,Ahmedabad,Gujarat,111960,India,FALSE
39,OD-2025-03907,CUST-52630,Women,39,2025-03-02,Delivered,Myntra,SKU-7453,Blouse,L,1,INR,2877.97,Pune,Maharashtra,392130,India,FALSE
40,OD-2025-00111,CUST-37494,Men,65,2025-04-11,Returned,Amazon,SKU-6934,Blouse,XL,1,INR,3990.85,Banglore,Karnataka,254775,India,FALSE
41,OD-2025-00913,CUST-23292,Women,50,2025-11-22,Cancelled,Amazon,SKU-9745,Blouse,L,3,INR,3091.36,Bangalore,Karnataka,820626,India,FALSE
42,OD-2025-08900,CUST-87271,Men,49,2025-11-20,Delivered,Meesho,SKU-7738,Kurta,S,1,INR,4528.24,Bengaluru,Karnataka,159970,India,FALSE
43,OD-2025-09151,CUST-13000,Women,58,2025-06-28,Delivered,Meesho,SKU-4474,Blouse,XS,2,INR,3976.13,Bombay,Maharashtra,154101,India,FALSE
44,OD-2025-08243,CUST-46392,Women,59,2025-02-25,Delivered,Nykaa,SKU-3175,Ethnic Dress,XXL,3,INR,3534.02,Bangalore,Karnataka,337816,India,FALSE
45,OD-2025-08293,CUST-20980,Men,20,2025-02-22,Delivered,Meesho,SKU-4667,Kurta,XL,4,INR,2843.97,Jaipur,Rajasthan,800388,India,FALSE
46,OD-2025-01115,CUST-33431,Women,51,2025-09-22,Delivered,Ajio,SKU-9795,Kurta,L,1,INR,4370.01,Jaipur,Rajasthan,119174,India,FALSE
47,OD-2025-01517,CUST-91100,Women,23,2025-07-11,Cancelled,Amazon,SKU-5166,  Western Dress  ,M,1,INR,4100.66,Lucknow,Uttar Pradesh,286207,India,TRUE
48,OD-2025-01575,CUST-71817,Women,52,2025-10-28,Delivered,Flipkart,SKU-8302,Kurta,M,4,INR,4268.08,Dehli,Delhi,NA,India,TRUE
49,OD-2025-02455,CUST-28565,Women,54,2025-12-23,Delivered,Nykaa,SKU-6973,Ethnic Dress,S,1,INR,370.75,Chennai,Tamil Nadu,222706,India,FALSE
50,OD-2025-08166,CUST-43917,Men,24,2025-02-28,Delivered,Nykaa,SKU-4356,Ethnic Dress,XL,2,INR,726.37,Kolkata,West Bengal,534685,India,FALSE
51,OD-2025-01458,CUST-66951,Men,43,2025-07-26,Returned,Ajio,SKU-5849,Kurta,XL,2,INR,3500.93,Lucknow,Uttar Pradesh,N/A,India,FALSE
52,OD-2025-09988,CUST-61904,Women,18,2025-02-07,Delivered,Nykaa,SKU-2267,Top,S,1,INR,3641.04,Lucknow,Uttar Pradesh,562532,India,FALSE
53,OD-2025-02340,CUST-83663,Men,61,2025-01-03,Delivered,Meesho,SKU-6067,Saree,XL,1,INR,1045.21,Hyderabad,Telangana,815418,India,FALSE
54,OD-2025-02831,CUST-71009,Women,30,2025-01-22,Delivered,Myntra,SKU-7056,Saree,S,2,INR,2063.73,Jaipur,Rajasthan,153722,India,FALSE
55,OD-2025-07757,CUST-19513,Women,30,2025-03-01,Delivered,Nykaa,SKU-5630,Blouse,L,1,INR,4113.74,Hyderabad,Telangana,353194,India,FALSE
56,OD-2025-01933,CUST-38599,Women,21,2025-01-15,Delivered,Nykaa,SKU-6214,Ethnic Dress,XS,2,INR,3024.99,Chennai,Tamil Nadu,168892,India,FALSE
57,OD-2025-07986,CUST-62831,Women,33,2025-09-18,Cancelled,Ajio,SKU-8466,Ethnic Dress,XS,1,INR,395.82,Pune,Maharashtra,316174,India,FALSE
58,OD-2025-08473,CUST-71976,Women,63,2025-10-10,Delivered,Flipkart,SKU-4117,Blouse,M,1,INR,573.85,Chennai,Tamil Nadu,795086,India,FALSE
59,OD-2025-08695,CUST-82956,Women,47,01 Oct 2025,Delivered,Myntra,SKU-2866,Blouse,M,2,INR,945.12,Bangalore,Karnataka,846269,India,FALSE
60,OD-2025-02721,CUST-33265,Women,50,2025-11-27,Cancelled,Meesho,SKU-1424,Ethnic Dress,XL,4,INR,3801.1,Pune,Maharashtra,156544,India,FALSE
61,OD-2025-01868,CUST-64038,Men,21,2025-06-17,Shipped,Amazon,SKU-1573,Ethnic Dress,XS,1,INR,2503.21,Hyderabad,Telangana,954843,India,FALSE
62,OD-2025-05098,CUST-27649,Men,49,2025-08-12,Delivered,Meesho,SKU-4507,Blouse,M,1,INR,3325.46,Delhi,Delhi,593025,India,FALSE
63,OD-2025-03122,CUST-73995,men,19,2025-12-24,Delivered,Meesho,SKU-7707,Kurta,M,2,INR,3125.82,Jaipur,Rajasthan,894817,India,TRUE
64,OD-2025-03510,CUST-92491,male,50,2025-08-15,Delivered,Amazon,SKU-4183,Saree,XS,1,INR,2181.91,Ahmedabad,Gujarat,823732,India,FALSE
65,OD-2025-04147,CUST-60010,Men,33,2025-09-23,Returned,Meesho,SKU-8769,Kurta,XXL,1,INR,781.4,Chennai,Tamil Nadu,985443,India,FALSE
66,OD-2025-00739,CUST-63071,Men,23,2025-12-17,Delivered,Flipkart,SKU-4057,Ethnic Dress,M,2,INR,4680.16,Kolkata,West Bengal,286540,India,FALSE
67,OD-2025-08556,CUST-43974,Men,21,2025-05-07,Delivered,Amazon,SKU-5984,Kurta,XS,1,INR,Rs.1323.46,Kolkata,West Bengal,424863,India,FALSE
68,OD-2025-06897,CUST-95401,Women,34,2025-05-27,Delivered,Meesho,SKU-2108,Blouse,XL,2,INR,4083.2,mumbai,Maharashtra,976087,India,FALSE
69,OD-2025-00010,CUST-50593,Woman,39,2025-07-13,Delivered,Nykaa,SKU-3175,Saree,XL,2,INR,3878.89,Lucknow,Uttar Pradesh,799631,India,FALSE
70,OD-2025-02434,CUST-58686,Women,50,2025-03-18,Delivered,Meesho,SKU-7620,Kurta,XL,1,INR,4758.34,Hyderabad,Telangana,772387,India,FALSE
71,OD-2025-01666,CUST-84397,Women,27,2025-06-20,Returned,Flipkart,SKU-7460,Western Dress,L,4,INR,3256.13,Jaipur,Rajasthan,N/A,India,FALSE
72,OD-2025-02126,CUST-74309,Men,21,2025-04-26,Delivered,Myntra,SKU-8962,Blouse,XL,2,INR,549.2,Jaipur,Rajasthan,505595,India,FALSE
73,OD-2025-03456,CUST-28454,Women,47,2025-03-17,Delivered,Amazon,SKU-5732,Top,M,2,INR,1740.18,Ahmedabad,Gujarat,231648,India,FALSE
74,OD-2025-00822,CUST-95991,Women,37,2025-03-11,Delivered,Meesho,SKU-5099,Saree,XS,1,INR,2067.78,Lucknow,Uttar Pradesh,493262,India,FALSE
75,OD-2025-00331,CUST-38369,Men,57,2025-03-17,Delivered,Ajio,SKU-1004,Western Dress,XS,3,INR,544.29,Chennai,Tamil Nadu,636561,India,FALSE
76,OD-2025-02141,CUST-64856,Women,34,2025-08-21,Delivered,Flipkart,SKU-3454,Top,L,3,INR,4501.96,Mumbai,Maharashtra,807214,India,FALSE
77,OD-2025-04007,CUST-14885,Men,52,2025-10-31,Cancelled,Flipkart,SKU-1917,Western Dress,L,1,INR,1659.39,Lucknow,Uttar Pradesh,971951,India,FALSE
78,OD-2025-08857,CUST-22925,Women,29,2025-12-19,Delivered,Meesho,SKU-5224,Ethnic Dress,M,2,INR,1667.83,Kolkata,West Bengal,803982,India,FALSE
79,OD-2025-09327,CUST-57010,Women,26,2025-11-02,Delivered,Myntra,SKU-3004,Kurta,XS,1,INR,1521.58,Ahmedabad,Gujarat,992400,India,FALSE
80,OD-2025-00017,CUST-43807,Women,25,2025-01-27,Delivered,Meesho,SKU-4874,Top,XL,2,INR,2108.73,Kolkata,West Bengal,220671,India,FALSE
81,OD-2025-07083,CUST-42006,Men,28,2025-08-13,Cancelled,Amazon,SKU-9394,Kurta,XS,1,INR,2673.39,Chennai,Tamil Nadu,926253,India,FALSE
82,OD-2025-08893,CUST-20401,M,54,2025-05-15,Delivered,Ajio,SKU-8932,Top,M,3,INR,4178.21,Ahmedabad,Gujarat,604856,India,FALSE
83,OD-2025-03602,CUST-86133,Women,27,2025-06-26,Delivered,Ajio,SKU-4447,Ethnic Dress,XXL,1,INR,2830.05,Jaipur,Rajasthan,497298,India,FALSE
84,OD-2025-02609,CUST-12583,Men,33,2025-08-11,Returned,Meesho,SKU-5704,Kurta,M,1,INR,691.88,Pune,Maharashtra,241985,India,FALSE
85,OD-2025-07464,CUST-92485,Women,64,2025-12-08,Shipped,Ajio,SKU-7482,Western Dress,S,1,INR,4270.26,Mumbai,Maharashtra,278219,India,FALSE
86,OD-2025-09145,CUST-16303,Women,59,2025-12-09,Delivered,Nykaa,SKU-1900,Western Dress,S,1,INR,3574.43,Lucknow,Uttar Pradesh,510890,India,TRUE
87,OD-2025-03563,CUST-47660,Men,39,2025-01-13,Delivered,Flipkart,SKU-7590,Kurta,XXL,1,INR,4960.11,Chennai,Tamil Nadu,536016,India,FALSE
88,OD-2025-05770,CUST-63450,Women,34,2025-05-21,Delivered,Myntra,SKU-2840,Ethnic Dress,XS,1,INR,539.66,Ahmedabad,Gujarat,254981,India,FALSE
89,OD-2025-03075,CUST-82068,Women,36,2025-03-17,Delivered,Nykaa,SKU-4852,Kurta,L,1,INR,,Mumbai,Maharashtra,992655,India,FALSE
90,OD-2025-05394,CUST-35904,Men,34,2025-08-09,Cancelled,Flipkart,SKU-3344,Top,M,1,INR,3722.79,Dehli,Delhi,473111,India,FALSE
91,OD-2025-07393,CUST-54766,Women,34,2025-03-03,Returned,Meesho,SKU-4406,Blouse,S,3,INR,3344.58,Bombay,Maharashtra,400294,India,FALSE
92,OD-2025-03569,CUST-68397,Women,42,2025-07-07,Delivered,Myntra,SKU-1698,Top,L,2,INR,4373.95,Lucknow,Uttar Pradesh,736364,India,FALSE
93,OD-2025-09124,CUST-47797,Women,62,2025-01-08,Delivered,Amazon,SKU-1307,Western Dress,L,1,INR,1663.33,Chennai,Tamil Nadu,789652,India,TRUE
94,OD-2025-03265,CUST-68276,Men,56,2025-01-01,Delivered,Amazon,SKU-8123,Top,L,2,INR,4882.17,Delhi,Delhi,735145,India,FALSE
95,OD-2025-01990,CUST-36741,Women,42,2025-04-24,Delivered,Myntra,SKU-6749,Blouse,L,2,INR,2466.66,Ahmedabad,Gujarat,854782,India,FALSE
96,OD-2025-01063,CUST-92142,Women,18,2025-10-19,Delivered,Meesho,SKU-9791,Western Dress,XL,1,INR,3895.73,Lucknow,Uttar Pradesh,435440,India,FALSE
97,OD-2025-06749,CUST-23784,Women,41,2025-05-04,Delivered,Amazon,SKU-1684,Saree,M,1,INR,2559.85,Kolkata,West Bengal,292540,India,FALSE
98,,CUST-51583,Men,22,2025-06-28,Delivered,Flipkart,SKU-4381,Ethnic Dress,L,1,INR,3383.75,Ahmedabad,Gujarat,566063,India,FALSE
99,OD-2025-06593,CUST-77113,Men,20,2025-07-14,Cancelled,Ajio,SKU-2885,Western Dress,XL,3,INR,4357.07,Delhi,Delhi,753919,India,FALSE
100,OD-2025-01430,CUST-10761,Women,55,2025-03-08,Shipped,Ajio,SKU-6357,Top,XL,3,INR,4335.12,Kolkata,West Bengal,249940,India,FALSE
101,OD-2025-05895,CUST-72035,Men,37,2025-08-31,Returned,Myntra,SKU-8407,Kurta,XL,4,INR,1012.44,Dehli,Delhi,279375,India,FALSE
102,OD-2025-03256,CUST-77575,Women,62,2025-11-18,Delivered,Meesho,SKU-1766,Ethnic Dress,XXL,1,INR,1236.01,Pune,Maharashtra,981542,India,FALSE
103,OD-2025-01583,CUST-68261,Women,62,2025-01-22,Delivered,Meesho,SKU-9001,Top,M,2,INR,4840.09,Pune,Maharashtra,492517,India,FALSE
104,OD-2025-09163,CUST-49959,Women,48,2025-07-28,Cancelled,Nykaa,SKU-4480,Saree,S,1,INR,3968.9,Chennai,Tamil Nadu,232568,India,TRUE
105,OD-2025-02604,CUST-17053,Women,22,2025-07-19,Delivered,Ajio,SKU-9362,Top,XXL,4,INR,4105.13,Delhi,Delhi,987992,India,FALSE
106,OD-2025-04964,CUST-61383,Women,20,2025-11-11,Delivered,Myntra,SKU-9438,Ethnic Dress,M,2,INR,621.54,Kolkata,West Bengal,974431,India,TRUE
107,OD-2025-06112,CUST-57733,Women,31,2025-02-14,Delivered,Flipkart,SKU-8043,Saree,XL,1,INR,3402.58,Bangalore,Karnataka,187909,India,FALSE
108,OD-2025-07907,CUST-48534,Women,22,2025-12-26,Cancelled,Ajio,SKU-5563,Saree,XS,1,INR,4271.64,Kolkata,West Bengal,779580,India,FALSE
109,OD-2025-00184,CUST-73997,  Men  ,36,2025-07-25,Delivered,Meesho,SKU-3113,Top,M,1,INR,3234.77,Lucknow,Uttar Pradesh,428881,India,FALSE
110,OD-2025-01836,CUST-69234,Women,54,2025-02-25,Delivered,Amazon,SKU-5245,Saree,M,1,INR,4621.13,Hyderabad,Telangana,319464,India,FALSE
111,OD-2025-04951,CUST-59222,Women,51,2025-04-15,Shipped,Flipkart,SKU-5241,Blouse,M,1,INR,4283.5,Mumbi,Maharashtra,157035,India,FALSE
112,OD-2025-07248,CUST-46762,Men,33,2025-07-14,Delivered,Amazon,SKU-8543,Western Dress,XL,2,INR,769.9,Lucknow,Uttar Pradesh,129835,India,FALSE
113,OD-2025-01237,CUST-63045,Men,21,2025-09-12,Delivered,Myntra,SKU-3778,Kurta,L,4,INR,1942.18,Kolkata,West Bengal,336722,India,FALSE
114,OD-2025-09252,CUST-23795,Women,65,2025-08-29,Delivered,Ajio,SKU-6726,Kurta,L,1,INR,3226.27,Delhi,Delhi,590158,India,FALSE
115,OD-2025-01312,CUST-97962,Women,35,2025-08-27,Shipped,Meesho,SKU-6291,Blouse,M,1,INR,4016.99,Mumbai,Maharashtra,541156,India,FALSE
116,OD-2025-07729,CUST-53167,Men,26,2025-10-13,Returned,Flipkart,SKU-1537,Ethnic Dress,S,4,INR,3712.1,Ahmedabad,Gujarat,250523,India,FALSE
117,OD-2025-03381,CUST-11870,Women,25,2025-11-08,Returned,Nykaa,SKU-6957,Western Dress,S,3,INR,2428.34,Hyderabad,Telangana,451141,India,FALSE
118,OD-2025-06623,CUST-39211,Men,65,2025-10-18,Cancelled,Meesho,SKU-9199,Top,XS,1,INR,898.58,Chennai,Tamil Nadu,659984,India,TRUE
119,OD-2025-03408,CUST-44255,Men,56,2025-01-23,Delivered,Amazon,SKU-4133,Ethnic Dress,XXL,1,INR,2551.51,DELHI,Delhi,646509,India,FALSE
120,OD-2025-07643,CUST-20807,Women,61,2025-03-31,Delivered,Ajio,SKU-1779,Saree,L,4,INR,2989.04,Mumbai,Maharashtra,209650,India,FALSE
121,OD-2025-00288,CUST-58274,Men,27,2025-10-30,Delivered,Meesho,SKU-4464,Western Dress,XL,2,INR,3786.6,Bangalore,Karnataka,921524,India,FALSE
122,OD-2025-04364,CUST-36053,  Women  ,19,2025-09-28,Delivered,Myntra,SKU-6573,Ethnic Dress,XXL,1,INR,1256.77,Ahmedabad,Gujarat,861136,India,FALSE
123,OD-2025-07783,CUST-82750,Women,63,2025-03-18,Returned,Nykaa,SKU-7570,Saree,XL,1,INR,436.75,Lucknow,Uttar Pradesh,661183,India,FALSE
124,OD-2025-01222,CUST-45648,Women,50,2025-10-07,Delivered,Flipkart,SKU-8401,Top,S,1,INR,1598.29,Pune,Maharashtra,846900,India,FALSE
125,OD-2025-04940,CUST-26454,Women,49,2025-10-12,Returned,Nykaa,SKU-3380,Blouse,M,1,INR,1397.36,Lucknow,Uttar Pradesh,852963,India,FALSE
126,OD-2025-04956,CUST-65869,Men,58,01 Apr 2025,Returned,  Myntra  ,SKU-7996,Blouse,M,3,INR,2282.33,Delhi,Delhi,725295,India,FALSE
127,OD-2025-06735,CUST-33082,Women,54,2025-02-16,Delivered,Ajio,SKU-1615,Top,L,1,INR,1592.9,Chennai,Tamil Nadu,214570,India,FALSE
128,OD-2025-05965,CUST-97409,Women,59,2025-09-09,Returned,Meesho,SKU-8437,Ethnic Dress,S,2,INR,1898.22,Ahmedabad,Gujarat,149831,India,FALSE
129,OD-2025-02302,CUST-36498,Women,33,2025-03-25,Returned,Amazon,SKU-5209,Saree,XS,1,INR,2855.73,Pune,Maharashtra,299143,India,FALSE
130,OD-2025-01833,CUST-61978,Women,24,2025-10-07,Returned,Flipkart,SKU-4847,Ethnic Dress,L,1,INR,1439.75,Jaipur,Rajasthan,846338,India,FALSE
131,OD-2025-01935,CUST-78961,Women,57,2025-11-30,Delivered,Ajio,SKU-6489,Ethnic Dress,XXL,1,INR,3014.52,Jaipur,Rajasthan,295563,India,FALSE
132,OD-2025-02762,CUST-49234,Women,54,2025-06-06,Delivered,Amazon,SKU-6071,Top,M,3,INR,4359.49,Hyderabad,Telangana,367458,India,FALSE
133,OD-2025-09733,CUST-92900,Men,45,2025-04-01,Delivered,Amazon,SKU-8543,Ethnic Dress,XS,3,INR,2793.46,Chennai,Tamil Nadu,737975,India,FALSE
134,OD-2025-00452,CUST-12722,Women,48,2025-08-13,Delivered,Meesho,SKU-4149,Top,S,2,INR,3029.21,Chennai,Tamil Nadu,757724,India,FALSE
135,OD-2025-02042,CUST-43675,Women,34,2025-04-23,Delivered,Amazon,SKU-1249,Top,XS,1,INR,1643.93,Delhi,Delhi,249250,India,FALSE
136,OD-2025-01500,CUST-53333,Men,64,2025-02-21,  Delivered  ,Myntra,SKU-6776,Ethnic Dress,XS,1,INR,4383.01,Lucknow,Uttar Pradesh,520589,India,FALSE
137,OD-2025-05345,CUST-75052,Women,32,2025-06-09,Delivered,Flipkart,SKU-6814,Blouse,XS,1,INR,1032.12,Kolkata,West Bengal,522500,India,FALSE
138,OD-2025-04552,CUST-32299,Women,38,2025-12-18,Delivered,Ajio,SKU-1048,Blouse,XXL,2,INR,4788.31,Hyderabad,Telangana,522805,India,FALSE
139,OD-2025-07597,CUST-67983,Women,61,2025-05-04,Returned,Meesho,SKU-2529,Blouse,M,3,INR,1960.53,Bangalore,Karnataka,591134,India,FALSE
140,OD-2025-04700,CUST-95304,Women,30,2025-02-20,Returned,Amazon,SKU-6678,Ethnic Dress,L,1,INR,2745.6,Delhi,Delhi,946794,India,FALSE
141,OD-2025-01908,CUST-44310,Women,55,2025-10-31,Delivered,Flipkart,SKU-3615,Top,M,1,INR,2238.13,Lucknow,Uttar Pradesh,767083,India,FALSE
142,OD-2025-01465,CUST-47176,Women,33,2025-03-21,Delivered,Myntra,SKU-2501,Top,XXL,1,INR,3388.78,Pune,Maharashtra,543843,India,FALSE
143,OD-2025-03174,CUST-87857,Men,29,2025-03-24,Cancelled,Myntra,SKU-4224,Ethnic Dress,XXL,,INR,1224.19,Bangalore,Karnataka,441239,India,FALSE
144,OD-2025-05904,CUST-84932,Men,51,2025-05-20,Delivered,Ajio,SKU-3564,Kurta,M,3,INR,1179.62,Mumbai,Maharashtra,453411,India,FALSE
145,OD-2025-07586,CUST-82419,men,63,2025-05-26,Delivered,Amazon,SKU-7247,Top,XS,2,INR,4088.09,Bangalore,Karnataka,279675,India,FALSE
146,OD-2025-09158,CUST-88963,MALE,59,2025-10-26,Delivered,Meesho,SKU-4319,Kurta,XXL,1,INR,1645.1,Delhi,Delhi,647688,India,FALSE
147,OD-2025-02805,CUST-18493,Men,25,2025-04-27,Delivered,Meesho,SKU-7800,Saree,L,1,INR,4424.5,mumbai,Maharashtra,565824,India,TRUE
148,OD-2025-09336,CUST-25035,Women,61,2025-12-20,Delivered,Myntra,SKU-9762,Western Dress,XS,1,INR,3025.24,Bangalore,Karnataka,492696,India,FALSE
149,OD-2025-09059,CUST-67542,Men,48,2025-02-27,Cancelled,Meesho,SKU-6608,Top,XXL,1,INR,4424.18,Pune,Maharashtra,157215,India,TRUE
150,OD-2025-06600,CUST-74176,Men,34,2025-07-01,Delivered,Amazon,SKU-5628,Saree,XS,3,INR,984.43,Bangalore,Karnataka,903889,India,FALSE
151,OD-2025-03892,CUST-14719,Women,26,2025-07-02,Delivered,Amazon,SKU-1064,Blouse,XXL,2,INR,1585.6,Bengaluru,Karnataka,251200,India,FALSE
152,OD-2025-00588,CUST-88988,Women,22,2025-02-21,Delivered,Myntra,SKU-9748,Kurta,L,1,INR,2032.97,Chennai,Tamil Nadu,287615,India,FALSE
153,OD-2025-02218,CUST-89505,Women,18,2025-04-18,Delivered,Amazon,SKU-5589,Saree,XXL,1,INR,2628.21,Lucknow,Uttar Pradesh,323394,India,FALSE
154,OD-2025-08752,CUST-88874,Women,62,2025-11-17,Cancelled,Flipkart,SKU-1849,Western Dress,XL,2,INR,4033.97,Ahmedabad,Gujarat,179987,India,FALSE
155,OD-2025-09741,CUST-74469,Women,32,2025-09-18,Delivered,Myntra,SKU-9786,Ethnic Dress,XL,1,INR,4643.23,MUMBAI,Maharashtra,409373,India,FALSE
156,OD-2025-06900,CUST-35717,Men,60,2025-06-20,Shipped,Amazon,SKU-8671,Top,L,1,INR,1273.23,Pune,Maharashtra,526491,India,FALSE
157,OD-2025-06757,CUST-21533,Women,36,2025-10-24,Delivered,Meesho,SKU-8532,Saree,L,1,INR,4850.81,Kolkata,West Bengal,836941,India,FALSE
